id,set,card_number,variant,name,price_zar
56233,AQ,7,H,Electrode (Holo),
56234,AQ,7,RH-H,Electrode (Reverse Holo),
56235,AQ,8,H,Entei (Holo),
56236,AQ,8,RH-H,Entei (Reverse Holo),
56239,AQ,9,H,Espeon (Holo),
56240,AQ,9,RH-H,Espeon (Reverse Holo),
56244,AQ,10,RH-H,Exeggutor (Reverse Holo),
56250,AQ,11,RH-H,Houndoom (Reverse Holo),
56270,AQ,16,RH-H,Magneton (Reverse Holo),
48996,AQ,17,RH-H,Muk (Reverse Holo),
56277,AQ,18,RH-H,Nidoking (Reverse Holo),
56293,AQ,22,RH-H,Slowking (Reverse Holo),
56297,AQ,23,RH-H,Steelix (Reverse Holo),
56305,AQ,25,RH-H,Suicune (Reverse Holo),
56307,AQ,26,RH-H,Tentacruel (Reverse Holo),
56313,AQ,27,RH-H,Togetic (Reverse Holo),
56317,AQ,28,RH-H,Tyranitar (Reverse Holo),
56321,AQ,29,RH-H,Umbreon (Reverse Holo),
56325,AQ,30,RH-H,Victreebel (Reverse Holo),
56329,AQ,31,RH-H,Vileplume (Reverse Holo),
56333,AQ,32,RH-H,Zapdos (Reverse Holo),
56038,AQ,103,N,Porygon (Normal),
56039,AQ,103,RH,Porygon (Reverse Holo),
68087,AR,1,N,Arceus (Normal),
68088,AR,1,RH,Arceus (Reverse Holo),
68091,AR,2,N,Arceus (Normal),
68093,AR,2,RH,Arceus (Reverse Holo),
68097,AR,3,N,Arceus (Normal),
68098,AR,3,RH,Arceus (Reverse Holo),
68099,AR,4,N,Arceus (Normal),
68100,AR,4,RH,Arceus (Reverse Holo),
68103,AR,5,N,Arceus (Normal),
68104,AR,5,RH,Arceus (Reverse Holo),
68107,AR,6,N,Arceus (Normal),
68108,AR,6,RH,Arceus (Reverse Holo),
68111,AR,7,N,Arceus (Normal),
68112,AR,7,RH,Arceus (Reverse Holo),
68113,AR,8,N,Arceus (Normal),
68114,AR,8,RH,Arceus (Reverse Holo),
68117,AR,9,N,Arceus (Normal),
68118,AR,9,RH,Arceus (Reverse Holo),
68073,AR,10,N,Bagon (Normal),
68077,AR,11,N,Ponyta (Normal),
68081,AR,12,N,Shinx (Normal),
57008,BP,1,N,Electabuzz (Normal),
57010,BP,2,N,Hitmonchan (Normal),
57012,BP,3,N,Professor Elm (Normal),
57015,BP,4,RH,Rocket's Scizor (Reverse Holo),
57017,BP,5,RH,Rocket's Sneasel (Reverse Holo),
57021,BP,6,RH,Dark Ivysaur (Reverse Holo),
57023,BP,7,RH,Dark Venusaur (Reverse Holo),
57026,BP,8,N,Rocket's Mewtwo (Normal),
57030,BP,9,N,Rocket's Hitmonchan (Normal),
29833,BS,8,1ES-H,Machamp (1st Edition Shadowless Holo),
29835,BS,8,H,Machamp (Holo),
29834,BS,8,SH-H,Machamp (Shadowless Holo),
29974,BS,55,1ES,Nidoran ♂ (1st Edition Shadowless),
30028,BS,73,1ES,Impostor Professor Oak (1st Edition Shadowless),
79815,CEL,14,RH,Cosmoem (Reverse Holo),
35454,CL,1,H,Deoxys (Holo),
35455,CL,1,RH-H,Deoxys (Reverse Holo),
35456,CL,2,H,Dialga (Holo),
35457,CL,2,RH-H,Dialga (Reverse Holo),
35458,CL,3,H,Entei (Holo),
35459,CL,3,RH-H,Entei (Reverse Holo),
35460,CL,4,H,Groudon (Holo),
35461,CL,4,RH-H,Groudon (Reverse Holo),
35462,CL,5,H,Ho-Oh (Holo),
35463,CL,5,RH-H,Ho-Oh (Reverse Holo),
35464,CL,6,H,Kyogre (Holo),
35465,CL,6,RH-H,Kyogre (Reverse Holo),
35466,CL,7,H,Lugia (Holo),
35467,CL,7,RH-H,Lugia (Reverse Holo),
35468,CL,8,H,Palkia (Holo),
35469,CL,8,RH-H,Palkia (Reverse Holo),
35470,CL,9,H,Raikou (Holo),
35471,CL,9,RH-H,Raikou (Reverse Holo),
35473,CL,10,RH-H,Rayquaza (Reverse Holo),
35475,CL,11,RH-H,Suicune (Reverse Holo),
30451,G1,20,1E,Brock's Golem (1st Edition),
30452,G1,20,N,Brock's Golem (Normal),
30457,G1,23,1E,Brock's Sandslash (1st Edition),
30458,G1,23,N,Brock's Sandslash (Normal),
30461,G1,25,1E,Erika's Clefairy (1st Edition),
30462,G1,25,N,Erika's Clefairy (Normal),
30463,G1,26,1E,Erika's Victreebel (1st Edition),
30464,G1,26,N,Erika's Victreebel (Normal),
30467,G1,28,1E,Lt. Surge's Raichu (1st Edition),
30468,G1,28,N,Lt. Surge's Raichu (Normal),
30469,G1,29,1E,Misty's Cloyster (1st Edition),
30470,G1,29,N,Misty's Cloyster (Normal),
30473,G1,31,1E,Misty's Poliwrath (1st Edition),
30474,G1,31,N,Misty's Poliwrath (Normal),
30477,G1,33,1E,Rocket's Snorlax (1st Edition),
30478,G1,33,N,Rocket's Snorlax (Normal),
30479,G1,34,1E,Sabrina's Venomoth (1st Edition),
30480,G1,34,N,Sabrina's Venomoth (Normal),
