db_code,db_name,era,release_date,db_records,tcgcsv_gid,ptcgio_id,ptcgio_name,ptcgio_total,ptcgio_status,enrich_source,notes
PR-BLW,BW Black Star Promos,BW,2011-04-06,0,,,,,NO_MAPPING,none,
BLW,Black & White,BW,2011-04-25,222,1400,bw1,Black & White,115,CONFIRMED,ptcgio,
EPO,Emerging Powers,BW,2011-08-31,193,1424,bw2,Emerging Powers,98,CONFIRMED,ptcgio,
NVI,Noble Victories,BW,2011-11-16,193,1385,bw3,Noble Victories,102,CONFIRMED,ptcgio,
NXD,Next Destinies,BW,2012-02-08,188,1412,bw4,Next Destinies,103,CONFIRMED,ptcgio,
DEX,Dark Explorers,BW,2012-05-09,199,1386,bw5,Dark Explorers,111,CONFIRMED,ptcgio,
DRX,Dragons Exalted,BW,2012-08-15,228,1394,bw6,Dragons Exalted,128,CONFIRMED,ptcgio,
DRV,Dragon Vault,BW,2012-10-05,22,1426,dv1,Dragon Vault,21,CONFIRMED,ptcgio,
BCR,Boundaries Crossed,BW,2012-11-07,266,1408,bw7,Boundaries Crossed,153,CONFIRMED,ptcgio,
PLS,Plasma Storm,BW,2013-02-06,250,1413,bw8,Plasma Storm,138,CONFIRMED,ptcgio,
PLF,Plasma Freeze,BW,2013-05-08,209,1382,bw9,Plasma Freeze,122,CONFIRMED,ptcgio,
PLB,Plasma Blast,BW,2013-08-14,183,1370,bw10,Plasma Blast,105,CONFIRMED,ptcgio,
LTR,Legendary Treasures,BW,2013-11-06,187,1409,bw11,Legendary Treasures,140,CONFIRMED,ptcgio,
LTRRC,Legendary Treasures: Radiant Collection,BW,,0,1465,bw11,Legendary Treasures,140,CONFIRMED,ptcgio,
DP,Diamond & Pearl,DP,2007-05-01,240,1430,dp1,Diamond & Pearl,130,CONFIRMED,ptcgio,
PR-DPP,DP Black Star Promos,DP,2007-05-01,0,,,,,NO_MAPPING,none,
POP6,POP Series 6,DP,2007-07-01,0,,,,,NO_MAPPING,none,
POP7,POP Series 7,DP,2008-01-01,0,,,,,NO_MAPPING,none,
POP8,POP Series 8,DP,2008-07-01,0,,,,,NO_MAPPING,none,
POP9,POP Series 9,DP,2009-01-01,0,,,,,NO_MAPPING,none,
PL,Platinum,DP,2009-02-11,237,1406,pl1,Platinum,133,CONFIRMED,ptcgio,
RR,Rising Rivals,DP,2009-05-16,209,1367,pl2,Rising Rivals,120,CONFIRMED,ptcgio,
SV,Supreme Victors,DP,2009-08-19,153,1384,pl3,Supreme Victors,153,CONFIRMED,ptcgio,
AR,Arceus,DP,2009-11-04,192,1391,pl4,Arceus,111,CONFIRMED,ptcgio,
RUM,Rumble,DP,,0,,,,,NO_MAPPING,none,
RS,Ruby & Sapphire,EX,2003-07-18,196,1393,ex1,Ruby & Sapphire,109,CONFIRMED,ptcgio,
SS,Sandstorm,EX,2003-09-18,179,1392,ex2,Sandstorm,100,CONFIRMED,ptcgio,
DR,Dragon,EX,2003-11-24,176,1376,ex3,Dragon,100,CONFIRMED,ptcgio,
MA,Team Magma vs Team Aqua,EX,2004-03-15,173,1377,ex4,Team Magma vs Team Aqua,97,CONFIRMED,ptcgio,
TK1A,EX Trainer Kit Latias,EX,2004-06-01,0,,,,,NO_MAPPING,none,
TK1B,EX Trainer Kit Latios,EX,2004-06-01,0,,,,,NO_MAPPING,none,
HL,Hidden Legends,EX,2004-06-14,179,1416,ex5,Hidden Legends,102,CONFIRMED,ptcgio,
RG,FireRed & LeafGreen,EX,2004-08-30,202,1419,ex6,FireRed & LeafGreen,116,CONFIRMED,ptcgio,
TRR,Team Rocket Returns,EX,2004-11-08,192,1428,ex7,Team Rocket Returns,111,CONFIRMED,ptcgio,
DX,Deoxys,EX,2005-02-14,108,,,,,NO_MAPPING,none,
EM,Emerald,EX,2005-05-09,185,1410,ex9,Emerald,107,CONFIRMED,ptcgio,
POP2,POP Series 2,EX,2005-07-01,0,,,,,NO_MAPPING,none,
UF,Unseen Forces,EX,2005-08-22,226,1398,ex10,Unseen Forces,145,CONFIRMED,ptcgio,
DS,Delta Species,EX,2005-10-31,203,1429,ex11,Delta Species,114,CONFIRMED,ptcgio,
POP3,POP Series 3,EX,2006-01-01,0,,,,,NO_MAPPING,none,
LM,Legend Maker,EX,2006-02-08,161,1378,ex12,Legend Maker,93,CONFIRMED,ptcgio,
TK2A,EX Trainer Kit 2 Plusle,EX,2006-03-01,0,,,,,NO_MAPPING,none,
TK2B,EX Trainer Kit 2 Minun,EX,2006-03-01,0,,,,,NO_MAPPING,none,
HP,Holon Phantoms,EX,2006-05-03,192,1379,ex13,Holon Phantoms,111,CONFIRMED,ptcgio,
POP4,POP Series 4,EX,2006-07-01,0,,,,,NO_MAPPING,none,
CG,Crystal Guardians,EX,2006-08-30,176,1395,ex14,Crystal Guardians,100,CONFIRMED,ptcgio,
DF,Dragon Frontiers,EX,2006-11-08,178,1411,ex15,Dragon Frontiers,101,CONFIRMED,ptcgio,
POP5,POP Series 5,EX,2007-01-01,0,,,,,NO_MAPPING,none,
PK,Power Keepers,EX,2007-02-14,198,1383,ex16,Power Keepers,108,CONFIRMED,ptcgio,
MT,Mysterious Treasures,EX,2007-08-22,226,1368,dp2,Mysterious Treasures,124,CONFIRMED,ptcgio,
SW,Secret Wonders,EX,2007-11-07,242,1380,dp3,Secret Wonders,132,CONFIRMED,ptcgio,
GE,Great Encounters,EX,2008-02-13,197,1405,dp4,Great Encounters,106,CONFIRMED,ptcgio,
MD,Majestic Dawn,EX,2008-05-21,182,1390,dp5,Majestic Dawn,100,CONFIRMED,ptcgio,
LA,Legends Awakened,EX,2008-08-20,268,1417,dp6,Legends Awakened,146,CONFIRMED,ptcgio,
SF,Stormfront,EX,2008-11-05,190,1369,dp7,Stormfront,106,CONFIRMED,ptcgio,
HS,HeartGold & SoulSilver,HGSS,2010-02-10,223,1402,hgss1,HeartGold & SoulSilver,124,CONFIRMED,ptcgio,
PR-HS,HGSS Black Star Promos,HGSS,2010-02-10,0,,,,,NO_MAPPING,none,
