sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-1-norm,Meg - POR - 1 - Spinarak - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 001/088</p>,1.0,0.0,0.0,0.0,MEG Perfect Order: Spinarak 001/088 - Normal,MEG Perfect Order: Spinarak 001/088 - Normal,meg-por-1-spinarak-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684397
me3-1-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684397
me3-2-norm,Meg - POR - 2 - Ariados - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 002/088</p>,1.5,0.0,0.0,0.0,MEG Perfect Order: Ariados 002/088 - Normal,MEG Perfect Order: Ariados 002/088 - Normal,meg-por-2-ariados-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684398
me3-2-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684398
me3-3-norm,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 003/088</p>,2.0,0.0,0.0,0.0,MEG Perfect Order: Shaymin 003/088 - Normal,MEG Perfect Order: Shaymin 003/088 - Normal,meg-por-3-shaymin-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684399
me3-3-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684399
me3-4-norm,Meg - POR - 4 - Snivy - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 004/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Snivy 004/088 - Normal,MEG Perfect Order: Snivy 004/088 - Normal,meg-por-4-snivy-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684400
me3-4-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684400
me3-5-norm,Meg - POR - 5 - Servine - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 005/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Servine 005/088 - Normal,MEG Perfect Order: Servine 005/088 - Normal,meg-por-5-servine-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684401
me3-5-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684401
me3-6-rev,Meg - POR - 6 - Serperior - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 006/088</p>,3.5,0.0,0.0,0.0,MEG Perfect Order: Serperior 006/088 - Reverse Holo,MEG Perfect Order: Serperior 006/088 - Reverse Holo,meg-por-6-serperior-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,RARE,,,,,,,,684402
me3-6-holo,,,,,,,,,,,,,,Holofoil,RARE,Unknown,,,,,,,684402
me3-7-norm,Meg - POR - 7 - Scatterbug - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 007/088</p>,2.0,0.0,0.0,0.0,MEG Perfect Order: Scatterbug 007/088 - Normal,MEG Perfect Order: Scatterbug 007/088 - Normal,meg-por-7-scatterbug-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684363
me3-7-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684363
me3-8-norm,Meg - POR - 8 - Spewpa - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 008/088</p>,3.5,0.0,0.0,0.0,MEG Perfect Order: Spewpa 008/088 - Normal,MEG Perfect Order: Spewpa 008/088 - Normal,meg-por-8-spewpa-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684364
me3-8-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684364
me3-9-norm,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 009/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Vivillon 009/088 - Normal,MEG Perfect Order: Vivillon 009/088 - Normal,meg-por-9-vivillon-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684366
me3-9-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684366
