sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-1-norm,Meg - POR - 1 - Spinarak - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 001/088</p>,1.0,0.0,0.0,0.0,Meg - POR - 1 - Spinarak - COMMON - Normal,Meg - POR - 1 - Spinarak - COMMON - Normal,meg-por-1-spinarak-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684397
me3-1-rev,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 001/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,meg-por-1-spinarak-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684397
me3-2-norm,Meg - POR - 2 - Ariados - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 002/088</p>,1.5,0.0,0.0,0.0,Meg - POR - 2 - Ariados - COMMON - Normal,Meg - POR - 2 - Ariados - COMMON - Normal,meg-por-2-ariados-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684398
me3-2-rev,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 002/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,meg-por-2-ariados-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684398
me3-3-norm,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 003/088</p>,2.0,0.0,0.0,0.0,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,meg-por-3-shaymin-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684399
me3-3-rev,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 003/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,meg-por-3-shaymin-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684399
me3-4-norm,Meg - POR - 4 - Snivy - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 004/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 4 - Snivy - COMMON - Normal,Meg - POR - 4 - Snivy - COMMON - Normal,meg-por-4-snivy-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684400
me3-4-rev,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 004/088</p>,5.5,0.0,0.0,0.0,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,meg-por-4-snivy-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684400
me3-5-norm,Meg - POR - 5 - Servine - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 005/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 5 - Servine - COMMON - Normal,Meg - POR - 5 - Servine - COMMON - Normal,meg-por-5-servine-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684401
me3-5-rev,Meg - POR - 5 - Servine - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 005/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 5 - Servine - COMMON - Reverse Holo,Meg - POR - 5 - Servine - COMMON - Reverse Holo,meg-por-5-servine-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684401
