era,set_name,abbreviation,group_id,productId,name,cleanName,number,rarity,cardType,hp,stage,subTypeName,marketPrice,lowPrice,midPrice,pokebulb_price
Mega Evolution,ME04: Chaos Rising,CRI,24655,693561,Weedle,Weedle,001/086,Common,Grass,,,Normal,0.46,0.4,0.45,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693561,Weedle,Weedle,001/086,Common,Grass,,,Reverse Holofoil,1.0,1.0,1.66,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693502,Kakuna,Kakuna,002/086,Common,Grass,,,Normal,0.5,0.5,0.5,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693502,Kakuna,Kakuna,002/086,Common,Grass,,,Reverse Holofoil,1.0,1.0,1.0,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693453,Beedrill ex - 003/086,Beedrill ex 003 086,003/086,Double Rare,Grass,,,Holofoil,13.55,9.98,13.0,15.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693459,Carnivine,Carnivine,004/086,Common,Grass,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693459,Carnivine,Carnivine,004/086,Common,Grass,,,Reverse Holofoil,,0.74,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693461,Chespin - 005/086,Chespin 005 086,005/086,Common,Grass,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693461,Chespin - 005/086,Chespin 005 086,005/086,Common,Grass,,,Reverse Holofoil,,0.75,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693537,Quilladin,Quilladin,006/086,Common,Grass,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693537,Quilladin,Quilladin,006/086,Common,Grass,,,Reverse Holofoil,,0.75,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693460,Chesnaught,Chesnaught,007/086,Rare,Grass,,,Holofoil,1.49,1.49,1.49,2.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693460,Chesnaught,Chesnaught,007/086,Rare,Grass,,,Reverse Holofoil,,2.5,2.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693558,Vulpix,Vulpix,008/086,Common,Fire,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693558,Vulpix,Vulpix,008/086,Common,Fire,,,Reverse Holofoil,,0.75,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693526,Ninetales,Ninetales,009/086,Uncommon,Fire,,,Normal,1.99,1.99,1.99,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693526,Ninetales,Ninetales,009/086,Uncommon,Fire,,,Reverse Holofoil,,2.49,2.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693500,Ho-Oh,Ho Oh,010/086,Rare,Fire,,,Holofoil,,1.0,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693500,Ho-Oh,Ho Oh,010/086,Rare,Fire,,,Reverse Holofoil,,1.0,2.25,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693484,Fennekin,Fennekin,011/086,Common,Fire,,,Normal,0.99,0.99,0.99,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693484,Fennekin,Fennekin,011/086,Common,Fire,,,Reverse Holofoil,,1.5,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693457,Braixen,Braixen,012/086,Common,Fire,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693457,Braixen,Braixen,012/086,Common,Fire,,,Reverse Holofoil,,0.5,0.62,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693473,Delphox,Delphox,013/086,Rare,Fire,,,Holofoil,2.91,1.99,2.75,3.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693473,Delphox,Delphox,013/086,Rare,Fire,,,Reverse Holofoil,,4.0,4.13,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693505,Litleo,Litleo,014/086,Common,Fire,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693505,Litleo,Litleo,014/086,Common,Fire,,,Reverse Holofoil,,0.75,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693519,Mega Pyroar ex - 015/086,Mega Pyroar ex 015 086,015/086,Double Rare,Fire,,,Holofoil,6.83,3.68,5.0,8.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693539,Remoraid,Remoraid,016/086,Common,Water,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693539,Remoraid,Remoraid,016/086,Common,Water,,,Reverse Holofoil,,0.75,0.75,
