set_code,product_id,name,variant_codes
AOR,100489,XY Ancient Origins Booster Box,N
AOR,100490,XY Ancient Origins Booster Pack,N
AOR,100492,"Ancient Origins Theme Deck - ""Stone Heart"" [Regirock]",N
AOR,100613,Oddish,"N,RH"
AOR,100614,Gloom,"N,RH"
AOR,100615,Vileplume,"N,RH"
AOR,100616,Bellossom,"N,RH"
AOR,100617,Sceptile EX,H
AOR,100618,M Sceptile EX,H
AOR,100619,Virizion,"H,RH"
AOR,100620,Entei (14),"N,RH"
AOR,100621,Entei (15),"H,RH"
AOR,100622,Volcarona (17),"H,RH"
AOR,100623,Hoopa EX,H
AOR,100624,Tyranitar EX,H
AOR,100625,M Tyranitar EX,H
AOR,101434,Combee,"N,RH"
AOR,101435,Vespiquen (10),"N,RH"
AOR,101436,Vespiquen (11),"N,RH"
AOR,101437,Flareon,"N,RH"
AOR,101438,Larvesta,"N,RH"
AOR,101439,Volcarona (18),"N,RH"
AOR,101440,Magikarp,"N,RH"
AOR,101441,Gyarados (20),"N,RH"
AOR,101442,Gyarados (21),"H,RH"
AOR,101443,Vaporeon,"N,RH"
AOR,101444,Relicanth,"N,RH"
AOR,101445,Regice,"N,RH"
AOR,101446,Kyurem EX,H
AOR,101447,Jolteon,"H,RH"
AOR,101448,Ampharos EX,H
AOR,101449,M Ampharos EX,H
AOR,101450,Rotom,"N,RH"
AOR,101451,Unown,"N,RH"
AOR,101452,Baltoy (31),"N,RH"
AOR,101453,Baltoy (32),"N,RH"
AOR,101454,Spinarak,"N,RH"
AOR,101455,Ariados,"N,RH"
AOR,101456,Claydol,"N,RH"
AOR,101457,Golett,"N,RH"
AOR,101458,Golurk (35),"N,RH"
AOR,101459,Machamp EX,H
AOR,101460,Wooper,"N,RH"
AOR,101461,Quagsire,"N,RH"
AOR,101462,Regirock,"N,RH"
AOR,101463,Golurk (41),"N,RH"
AOR,101464,Sableye,"N,RH"
AOR,101465,Inkay,"N,RH"
AOR,101466,Malamar,"N,RH"
AOR,101467,Beldum,"N,RH"
AOR,101470,Metang,"N,RH"
AOR,101471,Metagross (49),"N,RH"
AOR,101472,Metagross (50),"N,RH"
AOR,101473,Registeel,"N,RH"
AOR,101474,Ralts,"N,RH"
AOR,101475,Kirlia,"N,RH"
AOR,101476,Gardevoir,"H,RH"
AOR,101477,Cottonee,"N,RH"
AOR,101478,Whimsicott,"N,RH"
AOR,101479,Giratina EX,H
AOR,101480,Goomy,"N,RH"
AOR,101481,Sliggoo,"N,RH"
AOR,101482,Goodra,"H,RH"
AOR,101483,Meowth,"N,RH"
AOR,101484,Persian,"N,RH"
AOR,101485,Eevee,"N,RH"
AOR,101486,Porygon,"N,RH"
AOR,101487,Porygon2,"N,RH"
AOR,101488,Porygon-Z (66),"N,RH"
AOR,101489,Porygon-Z (67),"H,RH"
AOR,101490,Lugia EX,H
AOR,101491,Ace Trainer,"N,RH"
AOR,101492,Eco Arm,"N,RH"
AOR,101493,Ampharos Spirit Link,"N,RH"
AOR,101494,Energy Recycler,"N,RH"
AOR,101495,Faded Town,"N,RH"
AOR,101496,Forest of Giant Plants,"N,RH"
AOR,101497,Hex Maniac,"N,RH"
AOR,101498,Level Ball,"N,RH"
AOR,101499,Lucky Helmet,"N,RH"
AOR,101500,Lysandre,"N,RH"
AOR,101501,Paint Roller,"N,RH"
AOR,101502,Sceptile Spirit Link,"N,RH"
AOR,101503,Tyranitar Spirit Link,"N,RH"
AOR,101504,Dangerous Energy,"N,RH"
AOR,101505,Flash Energy,"N,RH"
AOR,101506,M Sceptile EX (85 Full Art),H
AOR,101507,Sceptile EX (84 Full Art),H
AOR,101508,Kyurem EX (86 Full Art),H
AOR,101509,Ampharos EX (87 Full Art),H
AOR,101510,M Ampharos EX (88 Full Art),H
AOR,101511,Hoopa EX (89 Full Art),H
AOR,101512,Machamp EX (90 Full Art),H
AOR,101513,Tyranitar EX (91 Full Art),H
AOR,101514,M Tyranitar EX (92 Full Art),H
AOR,101515,Giratina EX (93 Full Art),H
AOR,101516,Lugia EX (94 Full Art),H
AOR,101517,Steven (Full Art),H
AOR,101518,Primal Kyogre EX (Shiny Full Art),H
AOR,101519,Primal Groudon EX (Shiny Full Art),H
AOR,101520,M Rayquaza EX (Shiny Full Art),H
AOR,101521,Energy Retrieval,H
AOR,101522,Trainers' Mail (Secret),H
AOR,103462,Shiny Rayquaza EX Box,N
AOR,106211,Powers Beyond Tin [Latios EX],N
AOR,106213,Powers Beyond Tin [Hoopa EX],N
AOR,278667,Code Card - Ancient Origins Booster Pack,N
AOR,280307,Code Card - Ancient Origins Elite Trainer Box,N
AOR,280310,"Code Card - Ancient Origins Theme Deck - ""Iron Tide"" [Metagross]",N
AOR,280311,"Code Card - Ancient Origins Theme Deck - ""Stone Heart"" [Regirock]",N
AOR,280312,Code Card - Battle Arena Decks: Mewtwo EX vs Darkrai EX,N
AOR,280313,Code Card - Powers Beyond Tin [Hoopa EX],N
AOR,280314,Code Card - Powers Beyond Tin [Latios EX],N
AOR,280315,Code Card - Powers Beyond Tin [Rayquaza EX],N
AOR,280316,Code Card - Shiny Rayquaza EX Box,N
AOR,280317,Code Card - Tyrantrum EX Box,N
AQ,83487,Aipom,"N,RH"
AQ,83536,Ampharos,"N,RH"
AQ,83537,Ampharos (H1),H
AQ,83563,Apricorn Forest,"N,RH"
AQ,83575,Arcanine,"N,RH"
AQ,83576,Arcanine (H2),H
AQ,83613,Ariados,"N,RH"
AQ,83614,Ariados (H3),H
AQ,83680,Azumarill,"N,RH"
AQ,83681,Azumarill (H4),H
AQ,83796,Bellossom,"N,RH"
